svznr,zstart,klasse,nummer,gpsx1,gpsy1,RI,RII,DTV2024,DTVSV
70221420,TM,K,1897,9.406704999999992,48.93613399999997,B 14/K 1897 AS Backnang-Mitte,"K1832/K1897, WB*Backnang, Aspacher Str.",5676,242
70221421,TM,K,1906,9.407001,48.92533300000001,"K 1897/K 1906, WN*Erbstetten (Ost), Kreisverkehr","B 14/K 1906, WN*Maubach",2331,54
71221433,TM,K,1898,9.38648500000008,48.88362600001103,L1127/K1889 Leutenbach,K1847/K1889 Leutenbach,10588,182
70221422,TM,K,1831,9.404581000000096,48.93600000001111,"K 1831/K 1897, WN*Oberschöntal;südlich",L 1115/K 1831 WN*Großaspach;südlich,1492,105
70221423,TM,K,1907,9.448042000000097,48.92253100001101,"B14/ K1907, WN*Waldrems","L1080/K1907, WN*Unterweissach;bei, Kreisverkehr",8233,149
71221225,TM,L,1120,9.459723000000002,48.89125199999997,"L1120/K1914/K1915, WN*Stöckenhof","L1080/L1120, WN*Königsbronnhof;beim, \""Königsbronnhofkreuzg.\""",5674,117
73191210,TM,L,1182,8.909305999999999,48.71028299999998,L 1182/L 1183/K 1073 Sindelfingen-Darmsheim,L 1182/K 1064 bei Grafenau,11127,262
73191414,TM,K,1045,8.904531999999977,48.62183600001069,B 14/K 1044 bei Nufringen,K 1045/K 1046 Gärtringen-Rohrau,2130,63
73191423,TM,K,1079,8.900012000000002,48.634738,"K 1067/K 1079 bei Gärtringen, Kreisverkehr",B 14/K 1079 Gärtringen,12493,669
73191421,TM,K,1002,8.926035000000006,48.65387599999996,K 1002/K 1077 bei Ehningen,K 1002 bei Ehningen (Rampe),4289,308
73191415,TM,K,1046,8.919447999999976,48.62961200001063,K 1045/K 1046 Gärtringen-Rohrau,"K 1046/K 1077 Gärtringen, Kreisverkehr",3110,89
73191422,TM,K,1000,8.940124999999986,48.673566000010695,K 1000/K 1001 Ehningen,K 1000/K 1066 bei Sindelfingen-Darmsheim,4398,124
73191416,TM,K,1045,8.936380999999981,48.62332000001064,B 14/K 1044 bei Nufringen,L 1184/K 1045 bei Hildrizhausen,1387,16
73191209,TM,L,1184,8.984253999999995,48.62688899999999,L 1184/K 1000 Hildrizhausen,"B 464/L 1184 bei Holzgerlingen, Kreisverkehr oben",8407,240
72191409,TM,K,1009,8.972989999999998,48.77740599999995,K 1008/K 1009 Leonberg-Warmbronn,B 295/K 1009 bei Leonberg,4548,192
72191410,TM,K,1008,9.002223000000004,48.76253399999996,K 1008 OD Warmbronn bei Renningen,L 1188/K 1008 bei Leonberg (Frauenkreuz),2016,63
72191408,TM,K,1006,8.915713000000006,48.74613100000003,K 1007/K 1006 bei Weil der Stadt,K 1006/B 464 Anschlussrampen (West) AS Magstadt-Nord,3084,85
72201223,TM,L,1187,9.046426000000002,48.76824399999997,L 1187/L 1188 bei Leonberg (Glemseck),"L1187/L1189, S*Stgt.-Büsnau;bei, \""Schattengrund\""",7852,315
72191418,TM,K,1011,8.997050999999999,48.785175,L 1187/K 1011 bei Leonberg,B 295/K 1011 bei Leonberg,9584,241
72191106,TM,B,295,8.915379999999995,48.751221000000015,B 295/K 1007 bei Weil der Stadt,B 295/K 1015 bei Renningen,16180,703
72191414,TM,K,1060,8.921987999999995,48.772105999999965,LED Kreisverkehr Schnallenecker,K1015 Kreisverkehr (Bauhof),10334,722
71191411,TM,K,1013,8.909332000000003,48.82313800000003,L 1180/ K 1013 Rutesheim-Perouse,"K1013/K1017 bei Flacht, Kreisverkehr",5838,164
