Bevölkerung nach Geschlecht, 3 unregelmäßigen Altersgruppen und Nationalität seit 2008 - Zählbezirke Wien | Population by sex, 3 broad age groups and nationality since 2008 - subdistricts of Vienna
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;SEX;AGR3;AUT;FOR
AT13;90100;90104;2013;20130101;1;2;366;120
AT13;90100;90104;2013;20130101;1;3;151;16
AT13;90100;90104;2013;20130101;2;1;51;30
AT13;90100;90104;2013;20130101;2;2;369;143
AT13;90100;90104;2013;20130101;2;3;200;21
AT13;90100;90105;2013;20130101;1;1;96;25
AT13;90100;90105;2013;20130101;1;2;549;144
AT13;90100;90105;2013;20130101;1;3;164;21
AT13;90100;90105;2013;20130101;2;1;104;23
AT13;90100;90105;2013;20130101;2;2;558;171
AT13;90100;90105;2013;20130101;2;3;228;11
AT13;90100;90106;2013;20130101;1;1;94;13
AT13;90100;90106;2013;20130101;1;2;664;149
AT13;90100;90106;2013;20130101;1;3;252;25
AT13;90100;90106;2013;20130101;2;1;92;25
AT13;90100;90106;2013;20130101;2;2;689;178
AT13;90100;90106;2013;20130101;2;3;338;27
AT13;90100;90107;2013;20130101;1;1;103;37
AT13;90100;90107;2013;20130101;1;2;638;208
AT13;90100;90107;2013;20130101;1;3;272;33
AT13;90100;90107;2013;20130101;2;1;74;35
AT13;90100;90107;2013;20130101;2;2;572;253
AT13;90100;90107;2013;20130101;2;3;354;40
AT13;90100;90199;2013;20130101;1;1;0;0
AT13;90100;90199;2013;20130101;1;2;0;0
AT13;90100;90199;2013;20130101;1;3;0;0
AT13;90100;90199;2013;20130101;2;1;0;0
AT13;90100;90199;2013;20130101;2;2;0;0
AT13;90100;90199;2013;20130101;2;3;0;0
AT13;90100;90101;2014;20140101;1;1;146;46
AT13;90100;90101;2014;20140101;1;2;884;291
AT13;90100;90101;2014;20140101;1;3;381;55
AT13;90100;90101;2014;20140101;2;1;135;36
AT13;90100;90101;2014;20140101;2;2;949;297
AT13;90100;90101;2014;20140101;2;3;526;50
AT13;90100;90102;2014;20140101;1;1;71;19
AT13;90100;90102;2014;20140101;1;2;358;115
AT13;90100;90102;2014;20140101;1;3;128;19
AT13;90100;90102;2014;20140101;2;1;72;38
AT13;90100;90102;2014;20140101;2;2;322;163
AT13;90100;90102;2014;20140101;2;3;204;12
AT13;90100;90103;2014;20140101;1;1;82;37
AT13;90100;90103;2014;20140101;1;2;463;178
AT13;90100;90103;2014;20140101;1;3;202;46
AT13;90100;90103;2014;20140101;2;1;64;36
AT13;90100;90103;2014;20140101;2;2;460;210
AT13;90100;90103;2014;20140101;2;3;267;28
AT13;90100;90104;2014;20140101;1;1;63;16
AT13;90100;90104;2014;20140101;1;2;361;132
