JAHR;MONAT;ZNR;ZNAME;STRTYP;STRNR;RINAME;FZTYP;DTVMS;DTVMF;DTVMO;DTVDD;DTVFR;DTVSA;DTVSF;TVMAX;TVMAXT;
2025;DEZ.;1191;Wientalstraße;B;1;St. Pölten;LkwÄ;483;629;617;626;659;268;188;794;Di,09.12.;
2025;DEZ.;1191;Wientalstraße;B;1;Gesamt;Kfz;49283;52729;51008;51913;58559;50494;38744;59748;Fr,19.12.;
2025;DEZ.;1191;Wientalstraße;B;1;Gesamt;LkwÄ;1049;1342;1272;1346;1416;712;407;1706;*Do,04.12.;
2025;DEZ.;1192;Hauptstraße;G;0;Zentrum;Kfz;5058;5642;5722;5435;6431;5652;3052;6899;Fr,19.12.;
2025;DEZ.;1192;Hauptstraße;G;0;Zentrum;LkwÄ;240;292;301;286;305;174;132;347;Mo,15.12.;
2025;DEZ.;1192;Hauptstraße;G;0;St. Pölten;Kfz;5876;6587;6632;6395;7359;6152;3688;7558;Mo,22.12.;
2025;DEZ.;1192;Hauptstraße;G;0;St. Pölten;LkwÄ;245;297;296;296;304;178;135;345;Di,16.12.;
2025;DEZ.;1192;Hauptstraße;G;0;Gesamt;Kfz;10934;12228;12354;11829;13790;11804;6740;14431;Fr,19.12.;
2025;DEZ.;1192;Hauptstraße;G;0;Gesamt;LkwÄ;486;589;598;581;609;352;267;678;Di,16.12.;
2025;DEZ.;1193;Heiligenstädter Straße;B;14;Zentrum;Kfz;14834;16622;16225;16436;17956;13340;10579;18771;Do,18.12.;
2025;DEZ.;1193;Heiligenstädter Straße;B;14;Zentrum;LkwÄ;535;728;696;725;781;263;142;935;Mi,03.12.;
2025;DEZ.;1193;Heiligenstädter Straße;B;14;Klosterneuburg;Kfz;14678;16450;16110;16311;17505;13088;10524;18271;Do,11.12.;
2025;DEZ.;1193;Heiligenstädter Straße;B;14;Klosterneuburg;LkwÄ;528;718;702;710;772;262;137;923;Mi,03.12.;
2025;DEZ.;1193;Heiligenstädter Straße;B;14;Gesamt;Kfz;29512;33072;32336;32747;35461;26429;21103;37003;Do,18.12.;
2025;DEZ.;1193;Heiligenstädter Straße;B;14;Gesamt;LkwÄ;1063;1445;1398;1435;1553;525;279;1858;Mi,03.12.;
2025;DEZ.;1194;Prager Straße;B;3;Zentrum;Kfz;4934;5779;6010;5559;6428;5462;2219;7400;Mo,22.12.;
2025;DEZ.;1194;Prager Straße;B;3;Zentrum;LkwÄ;123;167;174;167;158;58;33;218;*Di,02.12.;
2025;DEZ.;1194;Prager Straße;B;3;Langenzersd.;Kfz;4691;5507;5747;5294;6111;5222;2055;6950;Mo,22.12.;
2025;DEZ.;1194;Prager Straße;B;3;Langenzersd.;LkwÄ;121;165;168;164;165;58;32;215;*Di,02.12.;
2025;DEZ.;1194;Prager Straße;B;3;Gesamt;Kfz;9625;11286;11757;10853;12539;10684;4274;14350;Mo,22.12.;
2025;DEZ.;1194;Prager Straße;B;3;Gesamt;LkwÄ;244;332;342;331;323;116;66;433;*Di,02.12.;
2025;DEZ.;1195;Wagramer Straße;B;8;Zentrum;Kfz;3337;3854;3757;3806;4191;3070;2012;5122;Di,09.12.;
2025;DEZ.;1195;Wagramer Straße;B;8;Zentrum;LkwÄ;127;169;158;171;171;63;44;275;Di,09.12.;
2025;DEZ.;1195;Wagramer Straße;B;8;Süßenbrunn;Kfz;3255;3692;3624;3634;4031;3123;2083;4170;Fr,12.12.;
2025;DEZ.;1195;Wagramer Straße;B;8;Süßenbrunn;LkwÄ;132;172;164;170;193;74;47;223;Mi,10.12.;
2025;DEZ.;1195;Wagramer Straße;B;8;Gesamt;Kfz;6592;7546;7382;7440;8222;6193;4095;9119;Di,09.12.;
2025;DEZ.;1195;Wagramer Straße;B;8;Gesamt;LkwÄ;258;341;322;342;364;138;91;466;Di,09.12.;
2025;DEZ.;1196;Erzherzog-Karl-Str.;B;3;Groß-Enzersdorf;Kfz;10659;12181;12128;11886;13526;9728;6846;13777;Fr,19.12.;
2025;DEZ.;1196;Erzherzog-Karl-Str.;B;3;Groß-Enzersdorf;LkwÄ;183;238;243;234;246;99;75;321;Mi,17.12.;
2025;DEZ.;1196;Erzherzog-Karl-Str.;B;3;Kagran;Kfz;10647;12168;12138;11935;13218;9531;6941;13398;Fr,05.12.;
2025;DEZ.;1196;Erzherzog-Karl-Str.;B;3;Kagran;LkwÄ;376;461;456;460;473;236;212;529;Di,02.12.;
2025;DEZ.;1196;Erzherzog-Karl-Str.;B;3;Gesamt;Kfz;21307;24349;24266;23821;26744;19259;13787;27095;Fr,19.12.;
2025;DEZ.;1196;Erzherzog-Karl-Str.;B;3;Gesamt;LkwÄ;559;699;698;695;719;335;288;849;Mi,17.12.;
2025;DEZ.;1198;Brünner Straße;B;7;Zentrum;Kfz;8416;9674;9827;9385;10724;8660;4683;10919;Fr,12.12.;
2025;DEZ.;1198;Brünner Straße;B;7;Zentrum;LkwÄ;353;476;466;475;491;212;85;651;Di,09.12.;
2025;DEZ.;1198;Brünner Straße;B;7;Wolkersdorf;Kfz;7080;8058;8138;7832;8931;7222;4204;9248;Fr,12.12.;
2025;DEZ.;1198;Brünner Straße;B;7;Wolkersdorf;LkwÄ;319;426;423;424;434;205;82;557;Di,09.12.;
2025;DEZ.;1198;Brünner Straße;B;7;Gesamt;Kfz;15496;17732;17966;17217;19655;15882;8887;20167;Fr,12.12.;
2025;DEZ.;1198;Brünner Straße;B;7;Gesamt;LkwÄ;673;901;888;900;925;417;166;1208;Di,09.12.;
2025;DEZ.;1199;Eßlinger Hauptstraße;B;3;Zentrum;Kfz;8056;8845;8787;8636;9827;8216;5711;9931;Fr,19.12.;
2025;DEZ.;1199;Eßlinger Hauptstraße;B;3;Zentrum;LkwÄ;443;574;565;573;593;245;181;716;Di,09.12.;
2025;DEZ.;1199;Eßlinger Hauptstraße;B;3;Groß-Enzersdorf;Kfz;7832;8598;8540;8391;9569;7989;5555;9736;Fr,19.12.;
2025;DEZ.;1199;Eßlinger Hauptstraße;B;3;Groß-Enzersdorf;LkwÄ;419;543;529;541;571;234;171;669;Mi,03.12.;
2025;DEZ.;1199;Eßlinger Hauptstraße;B;3;Gesamt;Kfz;15888;17443;17327;17027;19396;16205;11265;19667;Fr,19.12.;
2025;DEZ.;1199;Eßlinger Hauptstraße;B;3;Gesamt;LkwÄ;862;1117;1094;1114;1165;479;352;1382;Di,09.12.;
2025;DEZ.;1200;Vorarlberger Allee West;G;0;Zentrum;Kfz;5835;7430;7762;7271;7674;3997;2329;8850;Mo,01.12.;
2025;DEZ.;1200;Vorarlberger Allee West;G;0;Zentrum;LkwÄ;667;934;1036;908;911;246;146;1265;Di,02.12.;
2025;DEZ.;1200;Vorarlberger Allee West;G;0;S1;Kfz;5891;7464;7347;7395;7918;4089;2426;9001;Do,04.12.;
2025;DEZ.;1200;Vorarlberger Allee West;G;0;S1;LkwÄ;731;1033;1064;1023;1037;267;131;1290;Do,18.12.;
2025;DEZ.;1200;Vorarlberger Allee West;G;0;Gesamt;Kfz;11726;14894;15109;14666;15592;8086;4755;17384;Di,02.12.;
2025;DEZ.;1200;Vorarlberger Allee West;G;0;Gesamt;LkwÄ;1398;1967;2100;1930;1948;513;277;2553;Di,02.12.;
2025;DEZ.;1201;Vorarlberger Allee Ost;G;0;Laxenburger Str.;Kfz;3215;4263;4361;4128;4713;1971;934;5836;Do,18.12.;
2025;DEZ.;1201;Vorarlberger Allee Ost;G;0;Laxenburger Str.;LkwÄ;714;995;1032;978;1017;280;160;1286;Do,18.12.;
2025;DEZ.;1201;Vorarlberger Allee Ost;G;0;S1;Kfz;3028;3988;4086;3919;4154;1922;919;4721;Di,09.12.;
2025;DEZ.;1201;Vorarlberger Allee Ost;G;0;S1;LkwÄ;551;762;808;750;750;217;138;929;Di,09.12.;
2025;DEZ.;1201;Vorarlberger Allee Ost;G;0;Gesamt;Kfz;6243;8250;8447;8048;8867;3892;1852;10365;Do,18.12.;
2025;DEZ.;1201;Vorarlberger Allee Ost;G;0;Gesamt;LkwÄ;1265;1757;1840;1729;1767;497;298;2132;Do,18.12.;
2025;DEZ.;1202;Spange Vösendorf;G;0;Vösendorf;Kfz;5988;7298;7656;7089;7727;5172;2709;8431;Mo,01.12.;
2025;DEZ.;1202;Spange Vösendorf;G;0;Vösendorf;LkwÄ;302;441;444;446;416;74;36;659;Di,02.12.;
2025;DEZ.;1202;Spange Vösendorf;G;0;S1;Kfz;5810;7103;7170;6953;7666;5143;2495;8134;Mi,17.12.;
2025;DEZ.;1202;Spange Vösendorf;G;0;S1;LkwÄ;297;432;434;442;388;84;33;638;Di,09.12.;
2025;DEZ.;1202;Spange Vösendorf;G;0;Gesamt;Kfz;11797;14402;14826;14042;15393;10314;5204;16329;Mo,01.12.;
2025;DEZ.;1202;Spange Vösendorf;G;0;Gesamt;LkwÄ;600;874;879;888;804;158;69;1267;Di,09.12.;
2025;DEZ.;1203;Maria-Theresien-Straße;G;0;Franz-Josef-Kai;Kfz;11984;13346;12542;13287;14673;10952;8682;15697;Fr,12.12.;
2025;DEZ.;1203;Maria-Theresien-Straße;G;0;Franz-Josef-Kai;LkwÄ;348;455;423;465;454;206;125;570;Do,18.12.;
2025;DEZ.;1203;Maria-Theresien-Straße;G;0;-;Kfz;-29;-29;-29;-29;-29;-29;-29;-29;0.00.;
2025;DEZ.;1203;Maria-Theresien-Straße;G;0;-;LkwÄ;-29;-29;-29;-29;-29;-29;-29;-29;0.00.;
2025;DEZ.;1203;Maria-Theresien-Straße;G;0;Gesamt;Kfz;-29;-29;-29;-29;-29;-29;-29;-29;0.00.;
2025;DEZ.;1203;Maria-Theresien-Straße;G;0;Gesamt;LkwÄ;-29;-29;-29;-29;-29;-29;-29;-29;0.00.;
2025;DEZ.;1204;Türkenstraße;G;0;Währinger Straße;Kfz;14981;17025;15904;16974;18738;13467;10005;19882;Do,11.12.;
2025;DEZ.;1204;Türkenstraße;G;0;Währinger Straße;LkwÄ;346;471;435;477;494;168;88;618;Mi,10.12.;
2025;DEZ.;1204;Türkenstraße;G;0;-;Kfz;-29;-29;-29;-29;-29;-29;-29;-29;0.00.;
2025;DEZ.;1204;Türkenstraße;G;0;-;LkwÄ;-29;-29;-29;-29;-29;-29;-29;-29;0.00.;
2025;DEZ.;1204;Türkenstraße;G;0;Gesamt;Kfz;-29;-29;-29;-29;-29;-29;-29;-29;0.00.;
2025;DEZ.;1204;Türkenstraße;G;0;Gesamt;LkwÄ;-29;-29;-29;-29;-29;-29;-29;-29;0.00.;
2025;DEZ.;1205;Hernalser Hauptstraße;G;0;Zentrum;Kfz;8206;8599;8228;8550;9308;8298;7029;9491;Fr,19.12.;
2025;DEZ.;1205;Hernalser Hauptstraße;G;0;Zentrum;LkwÄ;153;204;194;207;205;86;44;277;Di,16.12.;
2025;DEZ.;1205;Hernalser Hauptstraße;G;0;Dornbach;Kfz;7040;7460;7173;7400;8106;7058;5830;8231;Fr,12.12.;
2025;DEZ.;1205;Hernalser Hauptstraße;G;0;Dornbach;LkwÄ;123;168;170;169;162;58;34;237;Mo,01.12.;
2025;DEZ.;1205;Hernalser Hauptstraße;G;0;Gesamt;Kfz;15246;16060;15400;15950;17414;15356;12858;17663;Fr,19.12.;
2025;DEZ.;1205;Hernalser Hauptstraße;G;0;Gesamt;LkwÄ;276;372;365;375;367;144;78;500;Mo,01.12.;
2025;DEZ.;1207;Altmannsdorfer Straße II;B;224;Zentrum;Kfz;19875;20985;19928;20945;22567;19797;16747;23159;*Mi,03.12.;
2025;DEZ.;1207;Altmannsdorfer Straße II;B;224;Zentrum;LkwÄ;752;1035;991;1021;1155;334;180;1322;Mi,17.12.;
