C-SDB_TIT-0;C-W96-0;C-C93-2;F-ANK;F-UEB
201809;W96-9;10;2693;5296
201809;W96-9;52;2599;5362
201809;W96-9;33;22000;50417
201809;W96-9;34;872;2197
201809;W96-9;17;5945;13034
201809;W96-9;64;11765;21656
201809;W96-9;59;7351;14835
201809;W96-9;65;7306;12576
201809;W96-9;09;9037;16585
201809;W96-9;36;3421;7424
201809;W96-9;92;5427;12433
201809;W96-9;38;6658;13137
201809;W96-9;39;43760;104417
201809;W96-9;96;3661;9024
201809;W96-9;16;28954;69587
201809;W96-9;93;734;2053
201809;W96-9;57;3567;10316
201809;W96-9;58;3303;8180
201809;W96-9;37;9518;22824
201809;W96-9;40;3287;8090
201810;W96-9;01;7600;15912
201810;W96-9;70;9587;17385
201810;W96-9;71;17720;33011
201810;W96-9;72;16666;29277
201810;W96-9;73;29858;50834
201810;W96-9;74;21559;37984
201810;W96-9;75;28624;50808
201810;W96-9;76;18507;36076
201810;W96-9;77;9937;20507
201810;W96-9;80;31277;72309
201810;W96-9;81;15376;39567
201810;W96-9;82;18254;47659
201810;W96-9;83;16155;41725
201810;W96-9;84;14964;38579
201810;W96-9;85;13299;34406
201810;W96-9;53;12733;30799
201810;W96-9;56;4666;10577
201810;W96-9;60;5226;12955
201810;W96-9;62;6654;15180
201810;W96-9;94;4668;11826
201810;W96-9;08;3256;7512
201810;W96-9;67;31390;55975
201810;W96-9;11;2714;7074
201810;W96-9;86;685;1659
201810;W96-9;13;3987;9345
201810;W96-9;14;16155;40575
201810;W96-9;15;3163;7589
201810;W96-9;87;2612;6542
201810;W96-9;18;2613;6182
201810;W96-9;49;327;878
201810;W96-9;19;5863;16354
201810;W96-9;20;21582;48986
201810;W96-9;21;12380;27945
201810;W96-9;22;6005;12192
201810;W96-9;23;8559;19973
201810;W96-9;51;3659;7073
201810;W96-9;88;672;1542
201810;W96-9;89;676;1610
201810;W96-9;63;1070;2560
201810;W96-9;90;466;1260
201810;W96-9;61;765;1856
201810;W96-9;25;9599;24440
201810;W96-9;26;2643;6363
201810;W96-9;27;7231;15149
201810;W96-9;28;2827;6619
201810;W96-9;29;9864;22203
201810;W96-9;91;14863;38165
201810;W96-9;95;2091;5277
201810;W96-9;31;4334;10305
201810;W96-9;32;18580;47200
201810;W96-9;10;2969;6120
201810;W96-9;52;4039;7747
201810;W96-9;33;20271;45584
201810;W96-9;34;720;1877
201810;W96-9;17;5182;11355
201810;W96-9;64;12783;22731
201810;W96-9;59;10103;18581
201810;W96-9;65;8532;14078
201810;W96-9;09;9653;16924
